disease,year,label_ha,label_hsda,BC_F,BC_M,BC_T,HA_F,HA_M,HA_T,HSDA_F,HSDA_M,HSDA_T,,,
Flower Deafness,2000,Interior,East Kootenay,191,209,400,49,48,97,12,5,17,,,
Flower Deafness,2000,Interior,Kootenay Boundary,191,209,400,49,48,97,14,18,32,,,
Flower Deafness,2000,Interior,Okanagan,191,209,400,49,48,97,13,15,28,,,
Flower Deafness,2000,Interior,Thompson Cariboo Shuswap,191,209,400,49,48,97,10,10,20,,,
Flower Deafness,2000,Fraser,Fraser East,191,209,400,30,35,65,6,14,20,,,
Flower Deafness,2000,Fraser,Fraser North,191,209,400,30,35,65,7,7,14,,,
Flower Deafness,2000,Fraser,Fraser South,191,209,400,30,35,65,17,14,31,,,
Flower Deafness,2000,Vancouver Coastal,Richmond,191,209,400,31,40,71,13,16,29,,,
Flower Deafness,2000,Vancouver Coastal,Vancouver,191,209,400,31,40,71,7,9,16,,,
Flower Deafness,2000,Vancouver Coastal,North Shore/Coast Garibaldi,191,209,400,31,40,71,11,15,26,,,
Flower Deafness,2000,Vancouver Island,South Vancouver Island,191,209,400,38,46,84,19,17,36,,,
Flower Deafness,2000,Vancouver Island,Central Vancouver Island,191,209,400,38,46,84,4,16,20,,,
Flower Deafness,2000,Vancouver Island,North Vancouver Island,191,209,400,38,46,84,15,13,28,,,
Flower Deafness,2000,Northern,Northwest,191,209,400,43,40,83,15,12,27,,,
Flower Deafness,2000,Northern,Northern Interior,191,209,400,43,40,83,10,11,21,,,
Flower Deafness,2000,Northern,Northeast,191,209,400,43,40,83,18,17,35,,,
,,,,,,,,,,,,,,,
