disease,year,label_prov,label_ha,label_hsda,BC_F,BC_M,BC_T,HA_F,HA_M,HA_T,HSDA_F,HSDA_M,HSDA_T
Flower Deafness,1995,BC,Interior,East Kootenay,104,97,201,25,22,47,9,7,16
Flower Deafness,1995,BC,Interior,Kootenay Boundary,104,97,201,25,22,47,7,7,14
Flower Deafness,1995,BC,Interior,Okanagan,104,97,201,25,22,47,4,5,9
Flower Deafness,1995,BC,Interior,Thompson Cariboo Shuswap,104,97,201,25,22,47,5,3,8
Flower Deafness,1995,BC,Fraser,Fraser East,104,97,201,15,15,30,1,3,4
Flower Deafness,1995,BC,Fraser,Fraser North,104,97,201,15,15,30,8,4,12
Flower Deafness,1995,BC,Fraser,Fraser South,104,97,201,15,15,30,4,8,12
Flower Deafness,1995,BC,Vancouver Coastal,Richmond,104,97,201,20,21,41,5,3,8
Flower Deafness,1995,BC,Vancouver Coastal,Vancouver,104,97,201,20,21,41,7,9,16
Flower Deafness,1995,BC,Vancouver Coastal,North Shore/Coast Garibaldi,104,97,201,20,21,41,8,9,17
Flower Deafness,1995,BC,Vancouver Island,South Vancouver Island,104,97,201,19,19,38,8,7,15
Flower Deafness,1995,BC,Vancouver Island,Central Vancouver Island,104,97,201,19,19,38,5,5,10
Flower Deafness,1995,BC,Vancouver Island,North Vancouver Island,104,97,201,19,19,38,6,7,13
Flower Deafness,1995,BC,Northern,Northwest,104,97,201,25,20,45,7,8,15
Flower Deafness,1995,BC,Northern,Northern Interior,104,97,201,25,20,45,9,9,18
Flower Deafness,1995,BC,Northern,Northeast,104,97,201,25,20,45,9,3,12
