disease,year,label_ha,label_hsda,BC_F,BC_M,BC_T,HA_F,HA_M,HA_T,HSDA_F,HSDA_M,HSDA_T
Flower Deafness,1992,Interior,East Kootenay,158,165,323,48,54,102,12,15,9
Flower Deafness,1992,Interior,Kootenay Boundary,158,165,323,48,54,102,8,10,10
Flower Deafness,1992,Interior,Okanagan,158,165,323,48,54,102,14,14,13
Flower Deafness,1992,Interior,Thompson Cariboo Shuswap,158,165,323,48,54,102,14,15,3
Flower Deafness,1992,Fraser,Fraser East,158,165,323,23,33,56,4,12,5
Flower Deafness,1992,Fraser,Fraser North,158,165,323,23,33,56,4,6,4
Flower Deafness,1992,Fraser,Fraser South,158,165,323,23,33,56,15,15,9
Flower Deafness,1992,Vancouver Coastal,Richmond,158,165,323,25,32,57,9,14,14
Flower Deafness,1992,Vancouver Coastal,Vancouver,158,165,323,25,32,57,11,4,4
Flower Deafness,1992,Vancouver Coastal,North Shore/Coast Garibaldi,158,165,323,25,32,57,5,14,10
Flower Deafness,1992,Vancouver Island,South Vancouver Island,158,165,323,26,23,49,15,15,3
Flower Deafness,1992,Vancouver Island,Central Vancouver Island,158,165,323,26,23,49,5,5,15
Flower Deafness,1992,Vancouver Island,North Vancouver Island,158,165,323,26,23,49,6,3,10
Flower Deafness,1992,Northern,Northwest,158,165,323,36,23,59,11,4,4
Flower Deafness,1992,Northern,Northern Interior,158,165,323,36,23,59,12,9,10
Flower Deafness,1992,Northern,Northeast,158,165,323,36,23,59,13,10,9
Flower Deafness,1993,Interior,East Kootenay,192,192,384,52,28,80,12,8,17
Flower Deafness,1993,Interior,Kootenay Boundary,192,192,384,52,28,80,10,10,8
Flower Deafness,1993,Interior,Okanagan,192,192,384,52,28,80,10,3,19
Flower Deafness,1993,Interior,Thompson Cariboo Shuswap,192,192,384,52,28,80,20,7,7
Flower Deafness,1993,Fraser,Fraser East,192,192,384,39,30,69,16,13,5
Flower Deafness,1993,Fraser,Fraser North,192,192,384,39,30,69,8,12,10
Flower Deafness,1993,Fraser,Fraser South,192,192,384,39,30,69,15,5,5
Flower Deafness,1993,Vancouver Coastal,Richmond,192,192,384,25,48,73,9,16,17
Flower Deafness,1993,Vancouver Coastal,Vancouver,192,192,384,25,48,73,7,12,13
Flower Deafness,1993,Vancouver Coastal,North Shore/Coast Garibaldi,192,192,384,25,48,73,9,20,17
Flower Deafness,1993,Vancouver Island,South Vancouver Island,192,192,384,42,45,87,20,15,18
Flower Deafness,1993,Vancouver Island,Central Vancouver Island,192,192,384,42,45,87,14,10,15
Flower Deafness,1993,Vancouver Island,North Vancouver Island,192,192,384,42,45,87,8,20,6
Flower Deafness,1993,Northern,Northwest,192,192,384,34,41,75,7,13,15
Flower Deafness,1993,Northern,Northern Interior,192,192,384,34,41,75,12,18,16
Flower Deafness,1993,Northern,Northeast,192,192,384,34,41,75,15,10,5
