disease,year,label_ha,label_hsda,BC_F,BC_M,BC_T,HA_F,HA_M,HA_T,HSDA_F,HSDA_M,HSDA_T
,,Interior,East Kootenay,,,,,,,,,
,,Interior,Kootenay Boundary,,,,,,,,,
,,Interior,Okanagan,,,,,,,,,
,,Interior,Thompson Cariboo Shuswap,,,,,,,,,
,,Fraser,Fraser East,,,,,,,,,
,,Fraser,Fraser North,,,,,,,,,
,,Fraser,Fraser South,,,,,,,,,
,,Vancouver Coastal,Richmond,,,,,,,,,
,,Vancouver Coastal,Vancouver,,,,,,,,,
,,Vancouver Coastal,North Shore/Coast Garibaldi,,,,,,,,,
,,Vancouver Island,South Vancouver Island,,,,,,,,,
,,Vancouver Island,Central Vancouver Island,,,,,,,,,
,,Vancouver Island,North Vancouver Island,,,,,,,,,
,,Northern,Northwest,,,,,,,,,
,,Northern,Northern Interior,,,,,,,,,
,,Northern,Northeast,,,,,,,,,
,,Unknown HA,Unknown HSDA,,,,,,,,,
